id,name,provider,rank,categories,imageUrl,localImage
"50","Wild Ape#3258","","50","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3034_1508783_h5_260701210257.webp","images/unknown__Wild_Ape_3258__50.webp"
"51","Ba Bao Huang Long","","51","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm2.webp","images/unknown__Ba_Bao_Huang_Long__51.webp"
"52","Koi Trio","JDB","52","Slots","https://cp-images.casinoplus.live/images/cpms/jdb/mobile/0_14100.webp","images/JDB__Koi_Trio__52.webp"
"53","Super Burst","","53","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm27.webp","images/unknown__Super_Burst__53.webp"
"54","Fortune Gems 2","","54","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_223_h5_260701195853.webp","images/unknown__Fortune_Gems_2__54.webp"
"55","Duo Fu Duo Cai","","55","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm10.webp","images/unknown__Duo_Fu_Duo_Cai__55.webp"
"56","Mines","JILI","56","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/229.webp","images/JILI__Mines__56.webp"
"57","Stand Alone","","57","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm26.webp","images/unknown__Stand_Alone__57.webp"
"58","Super Elements","","58","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3043_22055_h5_260701204541.webp","images/unknown__Super_Elements__58.webp"
"59","Tian Ci Jin Lu","","59","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm30.webp","images/unknown__Tian_Ci_Jin_Lu__59.webp"
"60","Golden Empire","","60","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_103_h5_260701191907.webp","images/unknown__Golden_Empire__60.webp"
"61","Coin Combo","","61","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm6.webp","images/unknown__Coin_Combo__61.webp"
"62","Gates Of Olympus 1000","","62","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3031_vs20olympx_h5_260701200115.webp","images/unknown__Gates_Of_Olympus_1000__62.webp"
"63","Fu Lai Cai Lai","","63","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm11.webp","images/unknown__Fu_Lai_Cai_Lai__63.webp"
"64","Fortune Gems 3","","64","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_300_h5_260701200444.webp","images/unknown__Fortune_Gems_3__64.webp"
"65","₱0.5 Duo Fu Duo Cai","","65","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm33.webp","images/unknown__0.5_Duo_Fu_Duo_Cai__65.webp"
"66","Fortune Coins","","66","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_523_h5_260702102550.webp","images/unknown__Fortune_Coins__66.webp"
"67","JJBX Grand","","67","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm16.webp","images/unknown__JJBX_Grand__67.webp"
"68","Money Coming","","68","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_51_h5_260701190604.webp","images/unknown__Money_Coming__68.webp"
"69","Good Fortune","","69","Slot Machines|Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm12.webp","images/unknown__Good_Fortune__69.webp"
"70","Money Coming Expand Bets","","70","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_302_h5_260701200925.webp","images/unknown__Money_Coming_Expand_Bets__70.webp"
"71","Lightning Link","","71","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm18.webp","images/unknown__Lightning_Link__71.webp"
"72","Lucky Neko","","72","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3034_89_h5_260701191246.webp","images/unknown__Lucky_Neko__72.webp"
"73","All Aboard","","73","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm1.webp","images/unknown__All_Aboard__73.webp"
"74","Chinese New Year Moreways","","74","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3043_22064_h5_260701205016.webp","images/unknown__Chinese_New_Year_Moreways__74.webp"
"75","Treasures Of Aztec","","75","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3034_87_h5_260701191203.webp","images/unknown__Treasures_Of_Aztec__75.webp"
"76","Sugar Bang Bang","","76","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3043_22043_h5_260701204152.webp","images/unknown__Sugar_Bang_Bang__76.webp"
"77","Starlight Princess 1000","","77","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3031_vs20starlightx_h5_260701200349.webp","images/unknown__Starlight_Princess_1000__77.webp"
"78","Queen Of Inca","","78","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3043_22063_h5_260701204910.webp","images/unknown__Queen_Of_Inca__78.webp"
"79","Lucky Fortunes Jackpot","","79","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3043_22068_h5_260701205142.webp","images/unknown__Lucky_Fortunes_Jackpot__79.webp"
"80","Lucky Fortunes","FC","80","Slots","https://cp-images.casinoplus.live/images/cpms/fc/mobile/n22040.webp","images/FC__Lucky_Fortunes__80.webp"
"81","Golden Genie","","81","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3043_22047_h5_260701204247.webp","images/unknown__Golden_Genie__81.webp"
"82","Gates Of Gatot Kaca 1000","","82","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3031_vs20gatotx_h5_260701201310.webp","images/unknown__Gates_Of_Gatot_Kaca_1000__82.webp"
"83","Wisdom Of Athena","","83","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3031_vs20procount_h5_260701200214.webp","images/unknown__Wisdom_Of_Athena__83.webp"
